연도,학교종류,시도,학교명,본분교,학교상태,설립,우편번호,주소,전화번호,팩스번호,홈페이지
2013,전문대학(3년제),강원,강원도립대학,본교,기존,공립,210-804,강원 강릉시 주문진읍 연주로 270,033-660-8000,033-660-8015,http://www.gw.ac.kr
2013,전문대학(3년제),경북,경북도립대학교,본교,학교명 변경,공립,757-807,경북 예천군 예천읍 도립대학길 114(청복리947-1),054-650-0111,054-650-0119,www.gpc.ac.kr
2013,전문대학(3년제),충남,충남도립청양대학,본교,기존,공립,345-702,충남 청양군 청양읍 충남도립청양대학 ,041-940-6600,041-940-6633,www.cyc.ac.kr
2013,전문대학(3년제),경기,한국복지대학교,본교,기존,국립,459-070,경기 평택시 장안동 5-3,031-610-4600,031-610-4930,http://www.knuw.ac.kr
2013,전문대학(3년제),경북,가톨릭상지대학교,본교,기존,사립,760-711,경북 안동시 상지길 45(율세동 393),054-857-9101,054-857-9590,www.csj.ac.kr
2013,전문대학(3년제),전북,군산간호대학교,본교,기존,사립,573-719,전북 군산시 동개정길 7 (개정동),063-450-3893,063-450-3899,www.kcn.ac.kr
2013,전문대학(3년제),경남,거제대학교,본교,기존,사립,656-701,경남 거제시 마전1길 91,055-680-1504,055-681-3993,www.koje.ac.kr
2013,전문대학(3년제),부산,경남정보대학교,본교,기존,사립,617-701,부산광역시 사상구 주례로 45 경남정보대학교,051-324-5555,051-324-1858,www.kit.ac.kr
2013,전문대학(3년제),경기,경민대학교,본교,기존,사립,480-702,경기 의정부시 서부로 545(가능3동 562-1) 경민대학,031-828-7700,031-828-7937,http://www.kyungmin.ac.kr
2013,전문대학(3년제),경북,대구미래대학교,본교,기존,사립,712-716,경북 경산시 미래로 114 대구미래대학교 ,053-810-9200,053-802-3162,http://www.dfc.ac.kr
2013,전문대학(3년제),경북,경북전문대학교,본교,기존,사립,750-050,경북 영주시 대학로 77 경북전문대학교,054-630-5114,054-632-0754,http://www.kbc.ac.kr
2013,전문대학(3년제),경기,경복대학교,본교,기존,사립,487-717,경기 포천시 신북면 경복대학교 ,031-570-9901,031-570-9568,www.kbu.ac.kr
2013,전문대학(3년제),인천,경인여자대학교,본교,기존,사립,407-740,인천 계양구 계산2동 548-4,032-540-0114,032-552-4110,www.kic.ac.kr
2013,전문대학(3년제),경북,서라벌대학교,본교,기존,사립,780-711,경북 경주시 충효동 165번지 서라벌대학교,054-770-3500,054-741-5429,http://first.sorabol.ac.kr
2013,전문대학(3년제),전남,광양보건대학교,본교,기존,사립,545-703,전남 광양시 광양읍 광양보건대학 ,061-760-1400,061-763-9009,www.kwangyang.ac.kr
2013,전문대학(3년제),광주,광주보건대학교,본교,기존,사립,506-701,광주 광산구 신창동 광주보건대학,062-958-7500,062-953-4946,www.ghu.ac.kr
2013,전문대학(3년제),전북,서해대학,본교,기존,사립,573-717,전북 군산시 서해대길 6(오룡동),063-460-9114,063-460-9191,www.sohae.ac.kr
2013,전문대학(3년제),전북,군장대학교,본교,기존,사립,573-709,전북 군산시 성산면 군장대학 ,063-450-8114,063-450-8111,www.kunjang.ac.kr
2013,전문대학(3년제),전남,고구려대학교,본교,기존,사립,520-713,전남 나주시 다시면 837-8번지 고구려대학교 ,061-330-7400,061-330-7322,http://www.kgrc.ac.kr
2013,전문대학(3년제),광주,기독간호대학교,본교,기존,사립,503-711,광주 남구 백서로70번길 6(양림동 67) 기독간호대학교,062-675-1681,062-675-5806,ccn.ac.kr
2013,전문대학(3년제),전북,전주기전대학,본교,기존,사립,560-701,전북 전주시 완산구 중화산동1가  177번지 전주기전대학,063-280-5208,063-231-6415,www.jk.ac.kr
2013,전문대학(3년제),경기,김포대학교,본교,기존,사립,415-761,경기 김포시 월곶면 김포대학로 97 김포대학교,031-999-4114,031-989-4387,www.kimpo.ac.kr
2013,전문대학(3년제),경기,농협대학교,본교,기존,사립,412-707,경기 고양시 덕양구 서삼릉길 281 (원당동),031-960-4000,,www.nonghyup.ac.kr
2013,전문대학(3년제),대구,대구보건대학교,본교,기존,사립,702-722,대구 북구 영송로 15(태전동),053-320-1300,053-320-1239,www.dhc.ac.kr
2013,전문대학(3년제),대구,수성대학교,본교,기존,사립,706-711,대구 수성구 달구벌대로 528길 15(만촌동) 수성대학교,053-749-7000,053-751-1823,WWW.SC.AC.KR
2013,전문대학(3년제),경기,대림대학교,본교,기존,사립,431-715,경기 안양시 동안구 임곡로 29(비산동) 대림대학교 ,031-467-4700,031-446-8729,www.daelim.ac.kr
2013,전문대학(3년제),대전,우송정보대학,본교,기존,사립,300-715,대전 동구 자양동 우송정보대학,042-629-6114,042-634-8003,www.wsi.ac.kr
2013,전문대학(3년제),경기,동남보건대학교,본교,기존,사립,440-714,경기도 수원시 장안구 천천로 74번길 50 ,031-249-6333,031-249-6334,www.dongnam.ac.kr
2013,전문대학(3년제),부산,동부산대학교,본교,기존,사립,612-080,부산광역시 해운대구 운봉길60,051-542-8891,051-540-3844,www.dpc.ac.kr
2013,전문대학(3년제),경기,동아방송예술대학교,본교,기존,사립,456-717,경기 안성시 삼죽면 동아방송대학교 ,031-670-6600,031-674-2997,www.dima.ac.kr
2013,전문대학(3년제),전남,동아인재대학교,본교,기존,사립,526-705,전남 영암군 학산면  영산로 76-57,061-472-5765,061-472-8770,www.dongac.ac.kr
2013,전문대학(3년제),서울,동양미래대학교,본교,기존,사립,152-714,서울시 구로구 경인로 445 동양미래대학교 (고척동 62-160),02-2610-1700,02-2688-5494,http://www.dongyang.ac.kr/
2013,전문대학(3년제),경기,동원대학교,본교,기존,사립,464-711,경기 광주시 곤지암읍 경충대로26 동원대학교,031-763-8541,031-763-9157,www.tw.ac.kr
2013,전문대학(3년제),부산,동주대학교,본교,기존,사립,604-080,부산 사하구 사리로55번길 16(괴정동),051-200-3300,051-201-5420,http://www.dongju.ac.kr
2013,전문대학(3년제),경남,마산대학교,본교,기존,사립,630-729,경남 창원시 마산회원구 내서읍 함마대로 2640(용담리),055-230-1212,055-231-1177,www.masan.ac.kr
2013,전문대학(3년제),서울,명지전문대학,본교,기존,사립,120-776,서울 서대문구 가좌로 134 명지전문대학 ,02-300-1000,02-304-4832,www.mjc.ac.kr
2013,전문대학(3년제),전남,목포과학대학교,본교,기존,사립,530-730,전남 목포시 영산로 413-1 (상동525),061-278-8651,061-279-8838,http://www.mokpo-c.ac.kr
2013,전문대학(3년제),서울,배화여자대학교,본교,기존,사립,110-735,서울 종로구 필운대로 1길 34 배화여자대학교,02-399-0700,02-737-8431,www.baewha.ac.kr
